1;Abromiškio atodanga;4314994364;563786.9587;6148710.327
2;Akmeninė užtvanka;3713676194;396674.9531;6241565.995
3;Akmenos apžvalgos aikštelė;5028700202;388202.8242;6142771.282
4;Akmenos – Jūros upių santaka;2370221555;387741.726;6136544.757
5;Aleksoto apžvalgos aikštelė;1013895687;492717.7233;6083944.852
6;Alytaus piliakalnio apžvalgos aikštelė;1134203199;505127.9284;6028871.461
7;Andruškonių atodanga;4966875764;506872.014;6098082.736
8;Apaščios ir Nemunėlio santaka;5844429476;547495.8178;6252171.345
9;Apušio apžvalgos aikštelė;5028214989;449246.1035;6164790.851
10;Apžvalgos aikštelė;6700273919;579101.3342;6062086.578
11;Apžvalgos aikštelė ant Tulkiaragės siurblinės stogo;5542271251;332212.6898;6138856.781
12;Apžvalgos aikštelė „Gairiakalnis“;3486143720;470112.2052;6077478.481
13;Apžvalgos aikštelė šalia Plokščių bažnyčios;5544859119;447204.8519;6105487.182
14;Apžvalgos aikštelė šalia Telšių bažnyčios;3872499795;391204.258;6206819.469
15;Apžvalgos aikštelė senojoje perkėloje;5178044391;319141.9859;6178373.622
16;Apžvalgos bokštas;3449141499;382158.0936;6133648.719
17;Apžvalgos bokštas;4692081010;308923.7137;6134019.811
18;Apžvalgos bokšteliai;3517028307;464109.223;6177839.375
19;Apžvalgos bokštelis;2068593691;324577.5639;6142889.375
20;Apžvalgos bokštelis;3373025183;437059.4762;6185606.418
21;Apžvalgos bokštelis Novaraisčio ornitologiniame draustinyje;3662663128;462605.3538;6089815.108
22;Apžvalgos ratas;4258095517;640944.0489;6179330.086
23;Apžvalgos vieta;4258220410;640165.5151;6179669.032
24;Artosios aukštapelkės apžvalgos aikštelė;5588109230;401993.8772;6116434.019
25;Atodanga;963718797;611987.0849;6082520.519
26;Atodanga;3238695453;605038.4451;6044500.792
27;Atodanga;1670019641;612174.3856;6082201.381
28;Aukščiausia Anykščių apžvalgos aikštelė;4402505089;568484.1716;6155485.19
29;Aukštagirės apžvalgos bokštas;1316287393;394658.758;6165455.233
30;Aukštųjų Šančių piliakalnis;1688104974;497119.5696;6082946.384
31;Aukštumalos pažintinio tako platforma;2068513657;332744.0104;6142891.416
32;Aukštupėnų piliakalnis;3832353383;561086.4135;6190808.273
33;Ausiutiškių regykla;1354078668;560251.4289;6071529.274
34;Avikalnio apžvalgos aikštelė;1118427594;317501.0836;6157008.665
35;Avikalnio ragas;2704421297;318126.0871;6156985.011
36;Avižlio atragis;1631476416;415726.5416;6230401.281
37;Ąžuolų kalnas;792100839;559735.1753;6076140.017
38;Bakanausko ežero apžvalgos aikštelė;2119876187;518182.9036;5988938.429
39;Balbieriškio atodanga;374121724;492500.0448;6044181.416
40;Baltas kalnas;1468796966;553244.0227;6083731.848
41;Barbakano apžvalgos aikštelė;674111736;583449.7075;6060872.102
42;Bardėnų apžvalgos bokštas;5028700987;372900.9585;6109799.411
43;Birštono apžvalgos bokštas;6371353705;500858.253;6051899.164
44;Birštono piliakalnis;1690106146;502182.7791;6051162.764
45;Birštvyno ragas;2756927416;317001.2103;6147220.385
46;Bitėnų apžvalgos aikštelė;5028214987;374785.1365;6107059.519
47;Bokštas prie Barstytalių;5028700986;367194.0642;6225914.232
48;Bokštelis su vaizdu į Krokų lanką;5549887839;331873.5423;6139296.255
49;Bokštelis su vaizdu į Kuršių marias;976164591;321951.2191;6137969.13
50;Buivydų piliakalnis;1690271333;560436.805;6076627.175
51;Bulvikio ragas;3343662439;313347.8203;6136813.9
52;Čepkelių raisto apžvalgos bokštas;1309875494;528107.2767;5987172.72
53;Dauginčių atodanga;4952741196;347040.9722;6204617.165
54;Daumantų atodanga;4314994341;562335.3986;6145983.127
55;Debesnų botaninio tako apžvalgos bokštelis;2219448197;396495.2696;6179361.984
56;Didysis akmuo;2621993177;421770.0623;6235369.695
57;Dirvonų klonis;4829246478;442191.7745;6189328.52
58;Drąseikių atodanga;3192087181;506352.5571;6096809.156
59;Drevernos apžvalgos bokštas;3453976476;325305.5681;6156931.026
60;Dubysos-Ventos perkaso regykla;4113995490;437965.3964;6191328.004
61;Dūkštų atodanga;5172670279;560532.5697;6077058.151
62;Dyburių atodanga;1917291702;349885.032;6203231.081
63;Eigulių piliakalnis;1688078085;494545.0113;6086763.874
